carrera,titulados_total,mujeres_tituladas,porcentaje_mujeres
ACTUARÍA,1613,646,40.05
ADMINISTRACIÓN DE EMPRESAS,453,20,4.42
ADMINISTRACIÓN DE NEGOCIOS,33,1,3.03
ADMINISTRACIÓN,4818,1831,38.0
CIENCIA DE DATOS,1,1,100.0
CIENCIA POLÍTICA,847,348,41.09
CIENCIAS DE LA COMPUTACIÓN,0,0,0.0
CIENCIAS SOCIALES,103,56,54.37
COMPUTACIÓN,802,236,29.43
CONTADOR PUBLICO Y AUDITOR,983,103,10.48
CONTADOR PÚBLICO,0,0,0.0
CONTADURÍA PÚBLICA Y ESTRATEGIA FINANCIERA,766,273,35.64
CONTADURÍA PÚBLICA,2034,788,38.74
DERECHO,2136,813,38.06
DIRECCIÓN DE MERCADOTECNIA,0,0,0.0
DIRECCIÓN FINANCIERA,511,106,20.74
ECONOMÍA,4603,1176,25.55
INDUSTRIAL Y SISTEMAS INTELIGENTES,0,0,0.0
INDUSTRIAL,346,109,31.5
INGENIERÍA EN MECATRÓNICA,51,6,11.76
INTELIGENCIA ARTIFICIAL,0,0,0.0
MATEMÁTICAS APLICADAS,874,264,30.21
MECATRÓNICA Y ROBÓTICA INTELIGENTE,0,0,0.0
NEGOCIOS,319,99,31.03
RELACIONES INTERNACIONALES,1338,770,57.55
TELEMÁTICA,285,71,24.91
